Timestamp,CPU_Usage_%,RAM_Usage_%,Wifi_TX_Mbps,Wifi_RX_Mbps
2025-12-31 20:19:47.007,0.1,7.8,0.11,0.06
2025-12-31 20:19:48.008,0.0,7.8,0.10,0.05
2025-12-31 20:19:49.010,0.0,7.8,0.09,0.05
2025-12-31 20:19:50.011,0.1,7.8,0.10,0.05
2025-12-31 20:19:51.012,0.0,7.8,0.09,0.04
2025-12-31 20:19:52.014,0.1,7.8,0.10,0.05
2025-12-31 20:19:53.015,0.0,7.8,0.10,0.05
2025-12-31 20:19:54.017,0.1,7.8,0.09,0.05
2025-12-31 20:19:55.018,0.0,7.8,0.09,0.05
2025-12-31 20:19:56.020,0.0,7.8,0.09,0.05
2025-12-31 20:19:57.021,0.0,7.8,0.10,0.05
2025-12-31 20:19:58.022,0.1,7.8,0.09,0.05
2025-12-31 20:19:59.024,0.1,7.8,0.10,0.05
2025-12-31 20:20:00.025,0.0,7.8,0.09,0.05
2025-12-31 20:20:01.027,0.0,7.8,0.09,0.05
2025-12-31 20:20:02.028,0.0,7.8,0.09,0.05
2025-12-31 20:20:03.029,0.1,7.8,0.10,0.05
2025-12-31 20:20:04.030,0.0,7.8,0.09,0.05
2025-12-31 20:20:05.032,0.2,7.8,0.09,0.05
2025-12-31 20:20:06.033,0.0,7.8,0.10,0.05
2025-12-31 20:20:07.035,0.1,7.8,0.10,0.05
2025-12-31 20:20:08.036,0.1,7.8,0.09,0.05
2025-12-31 20:20:09.037,0.0,7.8,0.09,0.05
2025-12-31 20:20:10.039,0.0,7.8,0.10,0.05
2025-12-31 20:20:11.040,0.0,7.8,0.09,0.05
2025-12-31 20:20:12.041,0.1,7.8,0.09,0.05
2025-12-31 20:20:13.043,0.1,7.8,0.10,0.05
2025-12-31 20:20:14.045,0.0,7.8,0.09,0.05
2025-12-31 20:20:15.047,0.1,7.8,0.09,0.05
2025-12-31 20:20:16.048,0.1,7.8,0.09,0.05
2025-12-31 20:20:17.050,0.1,7.8,0.10,0.05
2025-12-31 20:20:18.052,0.0,7.8,0.10,0.05
2025-12-31 20:20:19.054,0.0,7.8,0.09,0.05
